easting,northing,depth
356647.8115,5714599.4670,0.251644037
356647.6784,5714599.4420,0.261308332
356647.5600,5714599.4190,0.271012108
356647.4967,5714599.4070,0.280756193
356647.3474,5714599.3790,0.290519892
356647.2263,5714599.3560,0.300291318
356647.1630,5714599.3440,0.310089068
356647.0932,5714599.3300,0.32
356647.0137,5714599.3150,0.33
356646.9520,5714599.3030,0.34
356646.8065,5714599.2760,0.349797879
356646.6070,5714599.2560,0.358945702
356646.4730,5714599.2490,0.36750713
356646.3970,5714599.2450,0.375617011
356646.2551,5714599.2370,0.383065584
356646.1117,5714599.2290,0.389975739
356646.0344,5714599.2250,0.396672939
356645.9589,5714599.2210,0.403277544
356645.8059,5714599.2120,0.409766986
356645.7287,5714599.2080,0.41583124
356645.6514,5714599.2040,0.421655541
356645.5741,5714599.2000,0.427254644
356645.4969,5714599.1950,0.432516546
356645.4212,5714599.1910,0.437515492
356645.3332,5714599.1860,0.442923326
356645.2545,5714599.1820,0.449264252
356645.1737,5714599.1770,0.456474563
356644.8934,5714599.1730,0.463975255
356644.7043,5714599.1780,0.471499568
356644.6339,5714599.1800,0.479183098
356644.5574,5714599.1820,0.486874374
356644.4811,5714599.1840,0.493813521
356644.3934,5714599.1860,0.499938454
356644.3170,5714599.1880,0.505609815
356644.2405,5714599.1900,0.510795282
356644.1657,5714599.1920,0.515602465
356644.0892,5714599.1940,0.519751894
356644.0017,5714599.1970,0.523275558
356643.9251,5714599.1990,0.526683168
356643.8487,5714599.2010,0.529999235
356643.7723,5714599.2030,0.533313406
356643.6956,5714599.2050,0.536716809
356643.6160,5714599.2070,0.540225331
356643.3998,5714599.2190,0.544150579
356643.2585,5714599.2300,0.54812656
356643.1154,5714599.2420,0.551921335
356642.9734,5714599.2530,0.556104998
356642.8964,5714599.2590,0.56085357
356642.8193,5714599.2650,0.5655572
356642.7437,5714599.2710,0.570000052
356642.6685,5714599.2760,0.574442979
356642.5912,5714599.2820,0.579147327
356642.5144,5714599.2880,0.583898373
356642.4372,5714599.2940,0.588096826
356642.3602,5714599.3000,0.591929927
356642.2846,5714599.3060,0.596155819
356642.2075,5714599.3120,0.601161669
356642.1179,5714599.3190,0.606717816
356642.0377,5714599.3260,0.612555434
356641.8531,5714599.3430,0.618820652
356641.7308,5714599.3550,0.625566325
356641.6097,5714599.3680,0.631444487
356641.4886,5714599.3800,0.635831766
356641.4238,5714599.3860,0.639424292
356641.3578,5714599.3930,0.642508201
356641.2920,5714599.4000,0.645125637
356641.2259,5714599.4070,0.647473676
356641.1600,5714599.4130,0.650362788
